order_id,order_date,product_name,region,warehouse,transaction_type,quantity,unit_price_iqd,revenue_iqd,expiry_date
TXN-10001,2026-01-14 22:32:12,Piodol 500mg Tablets,Basra,North,Sale,81,7500,607500,2026-05-27
TXN-10002,2026-06-07 19:32:12,CLAFONEER 500mg IV/IM Vial,Anbar,South,Sale,115,15000,1725000,2026-07-15
TXN-10003,2026-01-28 20:32:12,Neuro-Forte F/C Tablet,Anbar,Central,Sale,66,15000,990000,2026-06-29
TXN-10004,2026-05-17 01:32:12,CLAFONEER 500mg IV/IM Vial,Baghdad,North,Sale,108,7500,810000,2026-05-16
TXN-10005,2025-12-28 23:32:12,NAPRON 500mg Tablet,Anbar,Central,Sale,25,15000,375000,2026-05-17
TXN-10006,2026-02-22 07:32:12,SITAVIA 100mg Tablets,Basra,South,Sale,42,7500,315000,2026-04-14
TXN-10007,2026-01-11 03:32:12,NAPRON 500mg Tablet,Basra,Central,Sale,54,12000,648000,2026-09-29
TXN-10008,2026-01-28 06:32:12,SITAVIA Plus 50/1000mg,Baghdad,Central,Sale,134,7500,1005000,2026-02-01
TXN-10009,2026-03-10 02:32:12,ATRANEER 10mg/ml Injection,Anbar,North,Sale,38,7500,285000,2026-02-24
TXN-10010,2026-01-17 14:32:12,Neuro-Forte F/C Tablet,Anbar,Central,Sale,91,25000,2275000,2026-02-17
TXN-10011,2026-06-18 03:32:12,CLOXABAN 20mg F/C Tablet,Mosul,South,Sale,137,15000,2055000,2026-10-01
TXN-10012,2026-01-23 09:32:12,Piodol 500mg Tablets,Erbil,North,Sale,108,25000,2700000,2026-02-09
TXN-10013,2026-06-15 02:32:12,SITAVIA 100mg Tablets,Anbar,North,Sale,115,7500,862500,2026-12-11
TXN-10014,2026-04-25 03:32:12,No-vomit 8mg/4ml Injection,Baghdad,South,Sale,104,25000,2600000,2026-05-23
TXN-10015,2026-04-16 04:32:12,Piodol 500mg Tablets,Mosul,North,Sale,24,7500,180000,2027-02-26
TXN-10016,2026-03-24 22:32:12,CLAFONEER 500mg IV/IM Vial,Basra,South,Sale,135,7500,1012500,2026-10-19
TXN-10017,2026-05-04 10:32:12,CLOXABAN 20mg F/C Tablet,Anbar,Central,Sale,71,25000,1775000,2027-01-16
TXN-10018,2026-03-01 16:32:12,SITAVIA Plus 50/1000mg,Erbil,North,Sale,77,5000,385000,2026-04-27
TXN-10019,2026-05-25 20:32:12,No-vomit 8mg/4ml Injection,Mosul,West,Return,4,25000,-100000,2026-06-26
TXN-10020,2026-04-28 19:32:12,SITAVIA 100mg Tablets,Mosul,West,Sale,87,12000,1044000,2026-11-06
TXN-10021,2026-01-13 02:32:12,No-vomit 8mg/4ml Injection,Basra,South,Sale,80,15000,1200000,2026-02-01
TXN-10022,2025-12-24 01:32:12,Neuro-Forte F/C Tablet,Basra,West,Sale,59,7500,442500,2026-01-05
TXN-10023,2025-12-25 03:32:12,Piodol 500mg Tablets,Mosul,Central,Sale,122,12000,1464000,2025-12-17
TXN-10024,2026-01-21 21:32:12,LOSART 50mg Tablets,Mosul,West,Sale,143,15000,2145000,2026-01-27
TXN-10025,2026-04-11 22:32:12,CLAFONEER 500mg IV/IM Vial,Anbar,Central,Sale,54,12000,648000,2026-06-11
TXN-10026,2026-05-20 22:32:12,Piodol 500mg Tablets,Basra,West,Return,6,12000,-72000,2026-08-06
TXN-10027,2026-01-17 20:32:12,ATRANEER 10mg/ml Injection,Mosul,South,Sale,83,15000,1245000,2026-07-10
TXN-10028,2026-04-27 18:32:12,No-vomit 8mg/4ml Injection,Basra,North,Sale,132,7500,990000,2026-05-16
TXN-10029,2026-04-27 03:32:12,SITAVIA Plus 50/1000mg,Baghdad,West,Sale,126,5000,630000,2026-11-02
TXN-10030,2026-04-10 01:32:12,CLOXABAN 20mg F/C Tablet,Mosul,South,Sale,108,5000,540000,2026-10-06
TXN-10031,2026-01-11 04:32:12,NAPRON 500mg Tablet,Baghdad,Central,Sale,40,5000,200000,2026-10-17
TXN-10032,2026-05-27 16:32:12,Piodol 500mg Tablets,Baghdad,Central,Sale,51,7500,382500,2026-06-29
TXN-10033,2026-03-28 05:32:12,LOSART 50mg Tablets,Erbil,Central,Sale,63,12000,756000,2027-01-22
TXN-10034,2026-03-01 06:32:12,Piodol 500mg Tablets,Erbil,West,Sale,96,25000,2400000,2026-03-10
